Ägypten	26.00	29.00
Bulgarien	43.00	25.00
Belgien	51.00	5.00
Dänemark	56.00	10.00
Deutschland;Deutsches Reich	51.00	10.00
England;Großbritannien;Grossbritannien	52.00	-2.00
Frankreich;France	46.00	3.00
Griechenland	38.00	24.00
Irland	53.00	-8.00
Island	65.00	-18.00
Italien	43.00	12.00
Jugoslawien	44.00	19.50
Marokko	31.00	-8.00
Makedonien;Mazedonien	41.00	22.00
Montenegro	43.00	19.00
Niederlande	52.00	6.00
Norwegen	63.00	9.00
Österreich	48.00	14.00
Österreich-Ungarn;Habsburgermonarchie;Donaumonarchie;Habsburger Monarchie;Habsburgische Monarchie;österreichische Monarchie;Habsburgerreich;Oesterreich 	47.70	17.00
Polen	52.00	21.00
Portugal	39.00	-8.00
Preußen;Preussen	52.00	13.00
Rumänien	45.00	26.00
Rußland;Russland;Russisches Reich;Rußisches Reich	59.00	70.00
Schweden	61.00	15.00
Schweiz	47.00	8.00
Serbien	43.50	20.50
Slowakei	49.00	20.00
Spanien	39.50	-1.50
Tschechoslowakei;Tschecho-Slowakei;Czecho-Slowakei	50.00	14.00
Türkei	39.00	36.00
Ukraine	50.00	31.00
Ungarn	47.00	19.00
Holland;Niederlande	52.25	4.65
Weißrussland	53.5167	28.7667
Armenien	40.3833	44.95
Aserbaidschan	40.1	47.3167
Bosnien und Herzegowina	44.1	17.9667
Estland	58.7	25.5167
Georgien	42.0167	43.7333
Heiliges Römisches Reich		
Kasachstan	48.95	66.2333
Kirgisien		
Kroatien	45.25	15.4667
Lettland	56.8689	24.8411
Litauen	55.5833	24.1167
Osmanisches Reich		
Sowjetunion		
Tadschikistan	38.5833	71.3667
Tschechische Republik		
Turkmenien		
Usbekistan	41.6667	64.0667
Finnland	63.4	25.85
Lombardo-Venetien		
Tripolitanien		
Algerien	27.25	3.45
Tunesien	33.3167	9.35
Persien		
Cyrenaika		
Französisch-Nordafrika		
Deutsch-Südwestafrika		
Dagestan	43.085	46.835
Sudan	15.5	30.5667
Syrien	35.2167	38.5833
Libanon	33.8333	35.7667
Palästina		
Zypern	35.1167	33.4
Island		
Türkei	39.1667	35.6667
Arabien		
Kanada		
Mongolei	47.3388	104.282
Japan	35.1561	136.06
Mexiko		
Brasilien		
Kolumbien		
Kamerun	5.11667	11.9167
Grönland	
Luxemburg
